base.id,base.currenthp,base.morale,base.populationList,base.status
6,88,33,8,war

0,100,72,3,peace
1,100,44,4,peace
2,70,52,4,war
3,78,62,2,war
4,100,42,3,peace
5,100,52,3,peace
6,86,32,8,war

0,100,71,3,peace
1,100,43,4,peace
2,62,51,4,war
3,76,61,2,war
4,100,41,3,peace
5,100,51,3,peace
6,84,31,8,war

0,100,70,3,peace
1,100,42,4,peace
2,54,50,4,war
3,74,60,2,war
4,100,40,3,peace
5,100,50,3,peace
6,82,30,8,war

0,100,69,3,peace
1,100,41,4,peace
2,46,49,4,war
3,72,59,2,war
4,100,39,3,peace
5,100,49,3,peace
6,80,29,8,war

0,100,68,3,peace
1,100,40,4,peace
2,38,48,4,war
3,70,48,1,war
4,100,38,3,peace
5,100,48,3,peace
6,78,28,8,war

0,100,67,3,peace
1,100,59,4,peace
2,32,67,4,war
3,68,47,1,war
4,100,37,3,peace
5,100,47,3,peace
6,76,27,8,war

0,100,66,3,peace
1,100,78,4,peace
2,26,66,4,war
3,66,46,1,war
4,100,36,3,peace
5,100,46,3,peace
6,74,26,8,war

0,100,65,3,peace
1,100,97,4,peace
2,20,85,4,war
3,64,45,1,war
4,100,35,3,peace
5,100,65,3,peace
6,72,25,8,war

0,100,64,3,peace
1,100,96,4,peace
2,14,84,4,war
3,62,44,1,war
4,100,34,3,peace
5,100,64,3,peace
6,70,24,8,war

0,100,63,3,peace
1,100,95,4,peace
2,8,50,5,war
3,60,43,1,war
4,100,33,3,peace
5,100,63,3,peace
6,68,23,8,war

0,100,62,3,peace
1,100,94,4,war
2,2,49,5,war
3,58,42,1,war
4,100,32,3,peace
5,100,52,2,war
6,66,22,8,war

0,100,61,3,peace
1,100,93,4,war
2,56,41,1,war
3,100,31,3,peace
4,100,51,2,war
5,62,21,13,peace

0,100,60,3,peace
1,100,92,4,war
2,56,40,1,war
3,100,30,3,peace
4,100,50,2,war
5,62,20,13,peace

0,100,59,3,peace
1,100,50,5,war
2,56,39,1,war
3,100,29,3,peace
4,100,69,2,war
5,62,19,13,peace

0,100,58,3,peace
1,100,69,5,war
2,56,38,1,war
3,100,28,3,peace
4,100,68,2,war
5,62,58,13,peace

0,100,57,3,peace
1,100,68,5,war
2,54,37,1,war
3,100,27,3,peace
4,100,67,2,war
5,62,77,13,peace

0,100,56,3,peace
1,100,67,5,war
2,52,36,1,war
3,100,26,3,peace
4,100,86,2,war
5,62,96,13,peace

0,100,55,3,peace
1,100,86,5,war
2,50,35,1,war
3,100,25,3,peace
4,100,85,2,war
5,62,95,13,peace

0,100,54,3,peace
1,100,85,5,war
2,48,34,1,war
3,100,24,3,peace
4,100,84,2,war
5,62,94,13,peace

0,100,53,3,peace
1,100,84,5,war
2,46,33,1,war
3,100,23,3,peace
4,100,83,2,war
5,62,50,14,peace

0,100,52,3,peace
1,98,83,5,war
2,44,32,1,war
3,100,22,3,peace
4,100,82,2,war
5,62,69,14,peace

0,100,71,3,peace
1,96,82,5,war
2,42,31,1,war
3,100,21,3,peace
4,100,81,2,war
5,62,88,14,peace

0,100,70,3,peace
1,94,81,5,war
2,40,30,1,war
3,100,20,3,peace
4,98,80,2,war
5,62,50,15,peace

0,100,59,2,war
1,92,80,5,war
2,38,29,1,war
3,100,19,3,peace
4,96,79,2,war
5,62,49,15,peace

0,100,58,2,war
1,90,79,5,war
2,36,28,1,war
3,100,18,3,peace
4,94,78,2,war
5,62,48,15,peace

0,100,57,2,war
1,88,78,5,war
2,34,27,1,war
3,100,17,3,peace
4,92,77,2,war
5,62,47,15,peace

0,100,56,2,war
1,86,77,5,war
2,32,26,1,war
3,100,16,3,peace
4,90,76,2,war
5,62,46,15,peace

0,100,55,2,war
1,84,76,5,war
2,30,25,1,war
3,100,35,3,peace
4,88,75,2,war
5,62,65,15,peace

0,100,54,2,war
1,82,75,5,war
2,28,24,1,war
3,100,34,3,peace
4,86,74,2,war
5,62,64,15,peace

0,100,53,2,war
1,80,74,5,war
2,24,23,1,war
3,100,33,3,peace
4,84,73,2,war
5,62,63,15,peace

0,100,52,2,war
1,78,93,5,war
2,20,22,1,war
3,100,32,3,peace
4,82,72,2,war
5,62,82,15,peace

0,100,51,2,war
1,76,92,5,war
2,16,21,1,war
3,100,31,3,peace
4,80,71,2,war
5,62,50,16,peace

0,100,50,2,war
1,74,91,5,war
2,12,20,1,war
3,100,30,3,peace
4,78,70,2,war
5,62,49,16,peace

0,100,49,2,war
1,72,90,5,war
2,8,19,1,war
3,100,29,3,peace
4,76,69,2,war
5,62,68,16,peace

0,100,48,2,war
1,70,89,5,war
2,4,18,1,war
3,100,28,3,peace
4,74,68,2,war
5,62,67,16,peace

0,100,67,2,war
1,70,88,6,peace
2,100,27,3,peace
3,72,67,2,war
4,62,86,16,peace

0,100,66,2,war
1,70,87,6,peace
2,100,26,3,peace
3,72,66,2,war
4,62,95,16,peace

0,100,85,2,war
1,70,86,6,peace
2,100,45,3,peace
3,72,65,2,war
4,62,50,17,peace

0,100,84,2,war
1,70,85,6,peace
2,100,44,3,peace
3,72,84,2,war
4,62,69,17,peace

0,100,83,2,war
1,70,84,6,peace
2,100,43,3,peace
3,72,83,2,war
4,62,88,17,peace

0,100,82,2,war
1,70,83,6,peace
2,100,42,3,peace
3,72,82,2,war
4,62,50,18,peace

0,100,81,2,war
1,70,82,6,peace
2,100,41,3,peace
3,72,81,2,war
4,62,89,18,peace

0,100,80,2,war
1,70,81,6,peace
2,100,40,3,peace
3,72,80,2,war
4,62,88,18,peace

0,100,69,1,war
1,70,80,6,war
2,100,39,3,peace
3,72,79,2,war
4,62,87,18,peace

0,100,68,1,war
1,70,79,6,war
2,100,38,3,peace
3,72,78,2,war
4,62,50,19,peace

0,100,67,1,war
1,70,78,6,war
2,100,37,3,peace
3,72,77,2,war
4,62,49,19,peace

0,100,66,1,war
1,70,77,6,war
2,100,36,3,peace
3,72,76,2,war
4,62,48,19,peace

0,100,65,1,war
1,70,76,6,war
2,100,75,3,peace
3,72,75,2,war
4,62,47,19,peace

