base.id,base.currenthp,base.morale,base.populationList,base.status
0,100,57,3,war
1,78,65,4,war
2,76,27,4,war
3,82,47,2,war
4,100,87,4,peace
5,90,7,2,war
6,82,37,5,war
7,100,37,3,war
8,100,37,5,peace
9,60,78,2,war
10,88,17,1,war
11,98,27,4,war

0,100,56,3,war
1,76,84,4,war
2,74,16,3,war
3,78,46,2,war
4,100,86,4,peace
5,88,6,2,war
6,80,56,5,war
7,100,36,3,war
8,100,36,5,peace
9,56,67,1,war
10,88,16,1,war
11,96,26,4,war

0,100,55,3,war
1,72,83,4,war
2,72,15,3,war
3,74,45,2,war
4,100,85,4,peace
5,86,5,2,war
6,78,55,5,war
7,100,35,3,war
8,100,35,5,peace
9,54,66,1,war
10,88,15,1,war
11,94,25,4,war

0,100,44,2,war
1,68,82,4,war
2,70,14,3,war
3,72,44,2,war
4,100,84,4,peace
5,84,4,2,war
6,76,54,5,war
7,100,24,2,war
8,100,54,5,peace
9,52,65,1,war
10,88,14,1,war
11,92,24,4,war

0,98,43,2,war
1,66,50,5,war
2,68,13,3,war
3,70,43,2,war
4,100,83,4,peace
5,82,3,2,war
6,74,53,5,war
7,98,43,2,war
8,100,53,5,peace
9,50,64,1,war
10,88,13,1,war
11,90,13,3,war

0,98,42,2,war
1,64,69,5,war
2,66,12,3,war
3,68,42,2,war
4,100,82,4,peace
5,78,2,2,war
6,72,52,5,war
7,96,42,2,war
8,100,52,5,peace
9,50,63,1,war
10,88,12,1,war
11,88,32,3,war

0,96,41,2,war
1,60,68,5,war
2,64,1,2,war
3,66,41,2,war
4,100,81,4,peace
5,74,1,2,war
6,70,51,5,war
7,94,41,2,war
8,100,71,5,peace
9,48,62,1,war
10,88,11,1,war
11,86,31,3,war

0,94,40,2,war
1,54,67,5,war
2,62,40,1,war
3,62,40,2,war
4,100,80,4,peace
5,70,40,1,war
6,68,50,5,war
7,92,30,1,war
8,100,90,5,peace
9,46,61,1,war
10,88,10,1,war
11,84,30,3,war

0,92,39,2,war
1,50,66,5,war
2,60,39,1,war
3,60,39,2,war
4,100,79,4,peace
5,68,39,1,war
6,66,49,5,war
7,90,29,1,war
8,100,89,5,peace
9,44,60,1,war
10,88,9,1,war
11,82,29,3,war

0,90,38,2,war
1,46,65,5,war
2,58,38,1,war
3,58,38,2,war
4,100,78,4,peace
5,66,38,1,war
6,64,48,5,war
7,88,28,1,war
